"","Site","Lat","Lon"
"8","120 Reef",33.737919,-118.392014
"29865","Abalone Cove",33.736149,-118.37632
"53259","Andrew Molera",36.278454,-121.880859
"56337","Aquarium",36.619232,-121.899414
"92332","Big Creek",36.069183,-121.600601
"117504","Big Rock",34.035168,-118.608086
"129250","Bird Rock",33.450798,-118.487541
"133683","Blue Cavern",33.44149,-118.465385
"136984","Breakwater",36.610451,-121.894333
"189304","Broomtail Reef",32.694233,-117.268066
"215999","Carmel River",36.539082,-121.935097
"238254","Casino Point",33.349167,-118.324966
"293457","Caspar",39.361729,-123.822449
"306671","Caspar North",39.364429,-123.821327
"315707","Cathedral Cove",34.016499,-119.368385
"338107","Cathedral Wall",34.015751,-119.371498
"357132","Cayucos",35.4408,-120.936302
"359338","Christmas Tree Cove",33.760399,-118.421051
"384671","Coral St Lucus Pt",36.637768,-121.923218
"436760","Crystal Cove",33.57135,-117.841103
"455996","Cueva Valdez",34.055,-119.809998
"475332","Daddy Bob",35.537731,-121.096634
"481232","Divers Cove",33.543171,-117.796577
"504535","Dolan",36.103851,-121.628128
"510638","East Point",33.943966,-119.964783
"528361","Elk Ridge",33.953335,-119.969086
"541204","Esalen",36.125919,-121.647408
"547219","Estero",35.471779,-121.021248
"553226","Frolic Cove",39.355026,-123.823868
"562233","Frys Anchorage",34.054161,-119.755997
"575013","Ft Ross",38.510601,-123.245064
"600406","Fullers",36.208107,-121.752167
"603223","Gerstle Cove",38.56646,-123.329964
"646537","Glass Beach",39.451645,-123.814728
"649555","Goldfish Bowl",34.014729,-119.4375
"670905","Harmony",35.500275,-121.054932
"676855","Hawthorne Reef",33.747002,-118.415886
"702316","Heisler Park",33.542252,-117.794998
"722594","Hopkins",36.621849,-121.90168
"755054","IV Reef",34.403049,-119.866081
"774060","Isthmus Reef",33.448318,-118.490601
"802056","Johnsons Lee",33.90155,-120.103401
"815534","Judith Reserve San Miguel Island",34.023281,-120.440453
"817710","LA Federal Breakwater",33.711899,-118.241997
"819839","La Jolla Cove",32.852165,-117.269867
"851803","Landing Cove",34.017467,-119.362396
"870723","Lechuza",34.034035,-118.871315
"890663","Leo Carillo North",34.043533,-118.944946
"912806","Light House",34.012634,-119.364197
"927854","Limkiln",36.008499,-121.523354
"930780","Lions Head",33.451241,-118.502098
"951280","Little Corona Del Mar",33.589802,-117.868698
"984255","Long Point West",33.410526,-118.378906
"991877","Lopez",36.03056,-121.580841
"997881","Lovers Point",36.62545,-121.911934
"1031937","MacAbee",36.618401,-121.897614
"1062285","Malaga Cove",33.80365,-118.398354
"1088847","Malpaso Creek",36.479965,-121.939049
"1094776","Mendocino Headlands",39.305283,-123.811218
"1123411","Middle Reef",36.522484,-121.938614
"1173589","Naples Reef",34.421848,-119.9515
"1184370","North Hill Street",32.728619,-117.264999
"1198335","North Monastery",36.526806,-121.926544
"1219257","Ocean Cove",38.555119,-123.305664
"1242157","Otter Cove",36.634933,-121.919952
"1269524","Paradise Point",34.004128,-118.7929
"1287495","Pebble Beach",38.691212,-123.441673
"1293432","Pelican Anchorage",34.035648,-119.702499
"1325520","Pescadero",36.562302,-121.959602
"1355069","Petters Kelp Reef",32.816299,-118.360001
"1357180","Pier 400",33.716301,-118.258003
"1359357","Point Arena MPA (M2)",38.944801,-123.740501
"1369756","Point Arena Ref",38.908001,-123.719101
"1380089","Point Buchon",35.237446,-120.900002
"1394350","Point Sur",36.288082,-121.892952
"1397344","Point Vicente East",33.736,-118.401199
"1400485","Point Vicente West",33.7397,-118.413696
"1403846","Portuguese Beach",39.303234,-123.803398
"1423990","Pt. Joe",36.614449,-121.964996
"1443901","Refugio State Beach",34.461056,-120.066872
"1486718","Rippers Cove",33.42815,-118.435471
"1490096","Russian Gulch",39.327984,-123.8088
"1498875","Saber Jets",36.948582,-122.03447
"1501893","Salt Creek",33.47715,-117.727364
"1523837","Sandpiper",34.417465,-119.896729
"1526036","Sandstone Pt.",33.990665,-119.554398
"1535675","Scorpion Anchorage",34.048515,-119.552299
"1559229","Seal Rock North Crescent Bay",33.545547,-117.803696
"1581734","Shaws Cove",33.543961,-117.799858
"1603207","Ship Rock",33.462833,-118.4916
"1609682","South La Jolla",32.81345,-117.285767
"1623303","South Monastery",36.525299,-121.9319
"1650793","South Point",33.895,-120.125
"1656912","South Wreck",36.226425,-121.789062
"1663151","Spanish Bay",36.618332,-121.953613
"1665976","Spooners Cove",35.277134,-120.892899
"1686638","Stillwater Cove Monterey",36.5602,-121.9459
"1718296","Stillwater Cove Sonoma",38.540298,-123.288803
"1747716","Stornetta",38.937244,-123.731911
"1755137","Terrace",36.945915,-122.064796
"1758043","Torqua",33.382999,-118.349998
"1786350","Trinidad",41.055,-124.139999
"1791501","Twin Rocks",33.417648,-118.397797
"1794797","Tyler Bight",34.027367,-120.414017
"1796960","Van Damme",39.271915,-123.795914
"1828416","WIES Intake Pipes",33.446999,-118.484848
"1854281","Weston",36.5112,-121.946297
"1881747","White Point",33.713509,-118.3181
"1901838","White Rocks",35.527756,-121.08564
"1907805","Windansea",32.836601,-117.288002
"1918408","Yellowbanks",33.998798,-119.550499
